Location,Period,Comm_health_workerNO
Guinea-Bissau,2021,0
Peru,2021,0
Sri Lanka,2021,0
Paraguay,2021,1089
Indonesia,2021,40175
Madagascar,2021,41616
Papua New Guinea,2021,6690
Mozambique,2021,7329
Togo,2021,7500
Nigeria,2021,7912
Chad,2021,8077
Kenya,2021,86490
Malawi,2020,0
Tuvalu,2020,0
India,2020,1097609
Morocco,2020,1061
Palau,2020,11
Burundi,2020,11845
Gabon,2020,110
Liberia,2020,12625
Sierra Leone,2020,13966
Bangladesh,2020,148713
Somalia,2020,1535
Cameroon,2020,154
Mauritius,2020,163
Gambia,2020,2080
Niger,2020,21429
Namibia,2020,2100
Maldives,2020,224
Guatemala,2020,225
Angola,2020,2652
Israel,2020,300
Mali,2020,3303
Guinea-Bissau,2020,3711
Madagascar,2020,41616
Zambia,2020,41669
Ethiopia,2020,42630
Timor-Leste,2020,4450
Indonesia,2020,45709
Cyprus,2020,51
Nepal,2020,51240
Eswatini,2020,5386
Rwanda,2020,58567
Chad,2020,592
Eritrea,2020,6000
South Sudan,2020,6508
Mozambique,2020,6696
Togo,2020,7386
Panama,2020,816
Kenya,2020,91653
Senegal,2019,1116
Nigeria,2019,116454
Gabon,2019,117
Bangladesh,2019,118145
Israel,2019,150
Uganda,2019,179000
Pakistan,2019,18009
Zambia,2019,1846
Paraguay,2019,1877
Maldives,2019,215
Republic of Moldova,2019,228
Philippines,2019,248584
Panama,2019,272
Dominican Republic,2019,2726
Brazil,2019,281207
Burkina Faso,2019,2979
Antigua and Barbuda,2019,34
Madagascar,2019,38338
Thailand,2019,39928
Papua New Guinea,2019,4532
Nepal,2019,50166
Hungary,2019,5335
Indonesia,2019,54704
Mozambique,2019,6632
Lao People's Democratic Republic,2019,75
Cyprus,2019,99
Thailand,2018,1064434
Malawi,2018,10016
Israel,2018,100
Burundi,2018,11845
Jamaica,2018,1106
Central African Republic,2018,115
Bhutan,2018,1150
Mali,2018,1152
Nigeria,2018,116454
Cabo Verde,2018,117
Zambia,2018,1283
Lesotho,2018,14508
Côte d’Ivoire,2018,14556
South Sudan,2018,1455
Ghana,2018,15820
Zimbabwe,2018,15888
Gambia,2018,1553
Guinea,2018,16567
Panama,2018,160
Angola,2018,1680
Senegal,2018,17417
Mauritius,2018,180
Namibia,2018,2292
Eritrea,2018,243
Afghanistan,2018,29581
Liberia,2018,3391
Madagascar,2018,35000
Ethiopia,2018,37259
Guinea-Bissau,2018,4057
Papua New Guinea,2018,4469
Rwanda,2018,45000
Saudi Arabia,2018,4627
Mozambique,2018,4787
Mauritania,2018,500
Sierra Leone,2018,505
South Africa,2018,54180
Bangladesh,2018,55136
Kenya,2018,58079
Eswatini,2018,6324
Indonesia,2018,66202
Togo,2018,7086
Botswana,2018,716
Egypt,2018,963
India,2018,970676
Zimbabwe,2017,15000
Ghana,2017,15456
Panama,2017,161
Mozambique,2017,1991
Israel,2017,200
Burkina Faso,2017,2749
Brazil,2017,436590
Senegal,2017,5
Togo,2017,7545
Morocco,2017,863
Thailand,2016,13006
Costa Rica,2016,1357
Maldives,2016,158
Panama,2016,215
Afghanistan,2016,28580
Iran (Islamic Republic of),2016,30000
Israel,2016,300
Mongolia,2016,302
Senegal,2016,5
El Salvador,2016,5419
Sierra Leone,2016,621
Guinea,2016,6700
Honduras,2016,7114
Serbia,2016,887
Jamaica,2016,893
Ecuador,2015,1054
Zimbabwe,2015,11200
Costa Rica,2015,1429
Panama,2015,154
Pakistan,2015,16448
Nauru,2015,17
Uganda,2015,179175
Myanmar,2015,2326
Guinea,2015,6700
Senegal,2015,770
Jamaica,2015,858
Maldives,2014,509
Jamaica,2014,711
Slovakia,2013,100
Mozambique,2013,1204
Timor-Leste,2013,241
Ghana,2013,5293
Niger,2013,6560
Jamaica,2013,696
Mozambique,2012,1213
Botswana,2012,166
Burkina Faso,2012,2099
Myanmar,2012,3397
Bhutan,2012,578
Jamaica,2012,643
Bangladesh,2012,73838
China,2011,1126443
Pakistan,2011,12621
Romania,2011,16170
Botswana,2011,166
Nauru,2011,17
Mauritius,2011,187
Greece,2011,260
Myanmar,2011,3371
Cameroon,2011,367
Sierra Leone,2011,566
Bangladesh,2011,60271
China,2010,1091863
Zimbabwe,2010,11200
Pakistan,2010,11510
Mali,2010,110
Sierra Leone,2010,132
Botswana,2010,166
Yemen,2010,19
Burkina Faso,2010,1976
Guyana,2010,245
Brazil,2010,334355
Myanmar,2010,3344
Mongolia,2010,437
Marshall Islands,2010,53
Maldives,2010,591
China,2009,1113331
Pakistan,2009,10731
Mali,2009,114
Belize,2009,158
Botswana,2009,166
Central African Republic,2009,1713
Guyana,2009,245
Nauru,2009,3
Ethiopia,2009,30950
Myanmar,2009,3278
Mongolia,2009,328
Maldives,2009,513
Niger,2009,6308
Cook Islands,2009,9
Pakistan,2008,10002
Malawi,2008,10055
Gambia,2008,1150
Sierra Leone,2008,132
Nauru,2008,14
Central African Republic,2008,1746
Nigeria,2008,19268
Vanuatu,2008,212
