Indicator,ParentLocationCode,ParentLocation,Location,Period,FactValueNumeric
Current health expenditure (CHE) per capita in US$,EUR,Europe,Switzerland,2020,10310
Current health expenditure (CHE) per capita in US$,EUR,Europe,Poland,2020,1026
Current health expenditure (CHE) per capita in US$,AMR,Americas,Trinidad and Tobago,2020,1031
Current health expenditure (CHE) per capita in US$,AFR,Africa,Sao Tome and Principe,2020,106.9
Current health expenditure (CHE) per capita in US$,AFR,Africa,Lesotho,2020,107.1
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Tuvalu,2020,1071
Current health expenditure (CHE) per capita in US$,EUR,Europe,Croatia,2020,1095
Current health expenditure (CHE) per capita in US$,AMR,Americas,United States of America,2020,11702
Current health expenditure (CHE) per capita in US$,AMR,Americas,Saint Kitts and Nevis,2020,1105
Current health expenditure (CHE) per capita in US$,EMR,Eastern Mediterranean,Bahrain,2020,1110
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Vanuatu,2020,114.2
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Nauru,2020,1144
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Cambodia,2020,115.8
Current health expenditure (CHE) per capita in US$,EUR,Europe,Hungary,2020,1163
Current health expenditure (CHE) per capita in US$,AMR,Americas,Cuba,2020,1186
Current health expenditure (CHE) per capita in US$,EUR,Europe,Uzbekistan,2020,120.5
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Timor-Leste,2020,120.9
Current health expenditure (CHE) per capita in US$,AMR,Americas,Barbados,2020,1200
Current health expenditure (CHE) per capita in US$,AMR,Americas,Panama,2020,1215
Current health expenditure (CHE) per capita in US$,AMR,Americas,Chile,2020,1278
Current health expenditure (CHE) per capita in US$,EUR,Europe,Latvia,2020,1313
Current health expenditure (CHE) per capita in US$,WPR,Western Pacific,Niue,2020,1319
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Indonesia,2020,133
Current health expenditure (CHE) per capita in US$,SEAR,South-East Asia,Bhutan,2020,133.7
Current health expenditure (CHE) per capita in US$,EUR,Europe,Slovakia,2020,1394
Current health expenditure (CHE) per capita in US$,AMR,Americas,Venezuela (Bolivarian Republic of),2020,142.5
