ParentLocation,Location,Period,FactValueNumeric
Americas,Costa Rica,2019,11
Europe,United Kingdom of Great Britain and Northern Ireland,2019,24.6
Americas,Canada,2019,25.2
Western Pacific,New Zealand,2019,25.7
Europe,Denmark,2019,26
Europe,Iceland,2019,28.3
Europe,Luxembourg,2019,42.6
Europe,Belgium,2019,55.8
Americas,Costa Rica,2018,11.1
Western Pacific,Republic of Korea,2018,124.3
Western Pacific,Japan,2018,129.8
Americas,Colombia,2018,17.1
Americas,Chile,2018,20.6
Europe,Sweden,2018,21.4
Europe,Denmark,2018,24.3
Europe,United Kingdom of Great Britain and Northern Ireland,2018,25
Americas,Canada,2018,25.5
Western Pacific,New Zealand,2018,26.2
Europe,Turkey,2018,28.5
Europe,Iceland,2018,28.7
Europe,Ireland,2018,29.7
Europe,Spain,2018,29.7
Europe,Israel,2018,29.8
Europe,Italy,2018,31.4
Europe,Netherlands,2018,31.7
Europe,Portugal,2018,34.5
Europe,Norway,2018,35.3
Europe,Finland,2018,36.1
Europe,Greece,2018,42
Europe,Slovenia,2018,44.3
Europe,Luxembourg,2018,45.1
Europe,Estonia,2018,45.7
Europe,Switzerland,2018,46.3
Europe,Latvia,2018,54.9
Europe,Belgium,2018,56.2
Europe,Slovakia,2018,57
Europe,France,2018,59.1
Europe,Lithuania,2018,64.3
Europe,Poland,2018,65.4
Europe,Czechia,2018,66.2
Europe,Hungary,2018,70.1
Europe,Russian Federation,2018,71.2
Europe,Austria,2018,72.7
Americas,Mexico,2018,9.8
Eastern Mediterranean,Morocco,2017,10
Americas,Belize,2017,10.36
South-East Asia,Indonesia,2017,10.4
South-East Asia,Myanmar,2017,10.44
Americas,Costa Rica,2017,11.4
Americas,El Salvador,2017,11.99
Eastern Mediterranean,Qatar,2017,12.5
Americas,Bolivia (Plurinational State of),2017,12.93
Americas,Saint Lucia,2017,12.97
Western Pacific,Republic of Korea,2017,122.7
Eastern Mediterranean,Iraq,2017,13.2
Eastern Mediterranean,United Arab Emirates,2017,13.8
Western Pacific,Japan,2017,130.5
