Indicator,ParentLocation,Location,Period,FactValueNumeric
Specialist medical practitioners (number),Americas,Uruguay,2021,10931
Specialist medical practitioners (number),Western Pacific,New Zealand,2021,11341
Specialist medical practitioners (number),Europe,Norway,2021,11879
Specialist medical practitioners (number),Americas,El Salvador,2021,14977
Specialist medical practitioners (number),Europe,Montenegro,2021,1417
Specialist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2021,158855
Specialist medical practitioners (number),South-East Asia,Bhutan,2021,169
Specialist medical practitioners (number),Europe,Georgia,2021,19351
Specialist medical practitioners (number),Americas,Peru,2021,19379
Specialist medical practitioners (number),Europe,Italy,2021,194405
Specialist medical practitioners (number),Europe,Israel,2021,22049
Specialist medical practitioners (number),Western Pacific,Papua New Guinea,2021,220
Specialist medical practitioners (number),Europe,Switzerland,2021,23573
Specialist medical practitioners (number),Africa,Chad,2021,260
Specialist medical practitioners (number),Europe,Austria,2021,27194
Specialist medical practitioners (number),Africa,Kenya,2021,2845
Specialist medical practitioners (number),Americas,Chile,2021,29804
Specialist medical practitioners (number),South-East Asia,Sri Lanka,2021,3296
Specialist medical practitioners (number),Americas,Colombia,2021,35095
Specialist medical practitioners (number),Africa,Togo,2021,357
Specialist medical practitioners (number),Americas,Canada,2021,46661
Specialist medical practitioners (number),South-East Asia,Indonesia,2021,48208
Specialist medical practitioners (number),Americas,Costa Rica,2021,5574
Specialist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2021,68333
Specialist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2021,690
Specialist medical practitioners (number),Africa,Mozambique,2021,804
Specialist medical practitioners (number),Europe,Ireland,2021,8513
Specialist medical practitioners (number),Africa,Burundi,2021,87
Specialist medical practitioners (number),South-East Asia,Nepal,2021,8862
Specialist medical practitioners (number),Africa,Cameroon,2021,897
Specialist medical practitioners (number),Africa,Guinea-Bissau,2021,9
Specialist medical practitioners (number),Western Pacific,Palau,2020,1
Specialist medical practitioners (number),Americas,United States of America,2020,1058559
Specialist medical practitioners (number),Africa,Guinea-Bissau,2020,10
Specialist medical practitioners (number),Western Pacific,New Zealand,2020,10939
Specialist medical practitioners (number),Africa,Senegal,2020,1076
Specialist medical practitioners (number),Europe,Norway,2020,11538
Specialist medical practitioners (number),Europe,Finland,2020,11876
Specialist medical practitioners (number),Europe,Türkiye,2020,115151
Specialist medical practitioners (number),Europe,Spain,2020,116345
Specialist medical practitioners (number),Western Pacific,Tonga,2020,12
Specialist medical practitioners (number),Eastern Mediterranean,Iraq,2020,12807
Specialist medical practitioners (number),Europe,France,2020,120306
Specialist medical practitioners (number),South-East Asia,Bhutan,2020,130
Specialist medical practitioners (number),Europe,Montenegro,2020,1405
Specialist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2020,151873
Specialist medical practitioners (number),Europe,Georgia,2020,17071
Specialist medical practitioners (number),Europe,Italy,2020,187490
Specialist medical practitioners (number),Americas,Mexico,2020,194890
Specialist medical practitioners (number),Western Pacific,Micronesia (Federated States of),2020,21
Specialist medical practitioners (number),Europe,Israel,2020,21294
Specialist medical practitioners (number),Africa,Chad,2020,219
Specialist medical practitioners (number),Europe,Belgium,2020,22890
Specialist medical practitioners (number),Europe,Switzerland,2020,23028
Specialist medical practitioners (number),Europe,Hungary,2020,24085
Specialist medical practitioners (number),Americas,Colombia,2020,26409
Specialist medical practitioners (number),Europe,Austria,2020,26410
Specialist medical practitioners (number),Europe,Portugal,2020,27728
Specialist medical practitioners (number),South-East Asia,Sri Lanka,2020,2700
Specialist medical practitioners (number),Americas,Chile,2020,28187
Specialist medical practitioners (number),Africa,Ethiopia,2020,2813
Specialist medical practitioners (number),Europe,Germany,2020,286085
Specialist medical practitioners (number),Africa,Eswatini,2020,29
Specialist medical practitioners (number),Western Pacific,Tuvalu,2020,3
Specialist medical practitioners (number),Africa,Malawi,2020,319
Specialist medical practitioners (number),South-East Asia,Indonesia,2020,32418
Specialist medical practitioners (number),Americas,Panama,2020,3269
Specialist medical practitioners (number),Africa,Togo,2020,331
Specialist medical practitioners (number),Europe,Albania,2020,3316
Specialist medical practitioners (number),Europe,Czechia,2020,35433
Specialist medical practitioners (number),Europe,Netherlands,2020,35833
Specialist medical practitioners (number),Western Pacific,Australia,2020,38399
Specialist medical practitioners (number),Africa,Gambia,2020,39
Specialist medical practitioners (number),Europe,Estonia,2020,3903
Specialist medical practitioners (number),Eastern Mediterranean,Oman,2020,4326
Specialist medical practitioners (number),Americas,Canada,2020,45376
Specialist medical practitioners (number),Europe,Latvia,2020,4930
Specialist medical practitioners (number),Europe,Slovenia,2020,5311
Specialist medical practitioners (number),Americas,Costa Rica,2020,5556
Specialist medical practitioners (number),Americas,Guatemala,2020,5640
Specialist medical practitioners (number),South-East Asia,Timor-Leste,2020,60
Specialist medical practitioners (number),Africa,Sierra Leone,2020,61
Specialist medical practitioners (number),Western Pacific,Lao People's Democratic Republic,2020,701
Specialist medical practitioners (number),Eastern Mediterranean,Saudi Arabia,2020,74003
Specialist medical practitioners (number),Europe,Ireland,2020,7871
Specialist medical practitioners (number),South-East Asia,Nepal,2020,8315
Specialist medical practitioners (number),Africa,Gabon,2020,835
Specialist medical practitioners (number),Western Pacific,Samoa,2020,9
Specialist medical practitioners (number),Africa,Mozambique,2020,918
Specialist medical practitioners (number),Africa,Cameroon,2020,919
Specialist medical practitioners (number),Western Pacific,Republic of Korea,2020,94565
Specialist medical practitioners (number),Europe,Lithuania,2020,9801
Specialist medical practitioners (number),Americas,United States of America,2019,1041165
Specialist medical practitioners (number),Europe,Denmark,2019,10832
Specialist medical practitioners (number),Africa,Ghana,2019,1055
Specialist medical practitioners (number),Europe,Türkiye,2019,108530
Specialist medical practitioners (number),Africa,Senegal,2019,1082
Specialist medical practitioners (number),Europe,Norway,2019,11217
Specialist medical practitioners (number),Europe,Finland,2019,11756
Specialist medical practitioners (number),Europe,Spain,2019,112784
Specialist medical practitioners (number),Europe,France,2019,118759
Specialist medical practitioners (number),South-East Asia,Bhutan,2019,122
Specialist medical practitioners (number),Europe,Montenegro,2019,1398
Specialist medical practitioners (number),Europe,United Kingdom of Great Britain and Northern Ireland,2019,145367
Specialist medical practitioners (number),Americas,Trinidad and Tobago,2019,1649
Specialist medical practitioners (number),Europe,Italy,2019,189390
