Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,64.152,64.537,64.752,65.132,65.294,65.502,66.063,66.439,66.757,67.168,67.583,67.975,68.577,69.092,69.503,69.762,70.035,70.264,70.494,70.778,71.066,71.722,71.959,72.105,72.251,72.388,72.462,72.789,73.047,73.023,73.076,73.1,73.179,73.225,73.272,73.349,73.448,73.452,73.491,73.561,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,
Africa Eastern and Southern,44.08555185,44.38669693,44.75218187,44.9131593,45.47904304,45.49833779,45.24910463,45.924905,46.22309657,46.43230309,46.71848452,47.19294226,46.89738925,47.69231743,47.59806375,47.75988691,48.34958805,48.63590519,48.7636046,49.26133574,49.63653766,50.05707329,50.29684914,48.70333059,48.65266456,49.01163072,49.63971901,50.07588754,49.35972653,50.68409979,50.60772753,50.39045961,49.96211365,50.27362797,50.88258182,51.00192529,50.81068897,50.97423136,50.32591274,51.23785191,51.96448132,52.18964821,52.540794,53.02203459,53.54545711,54.21965081,55.15054611,55.93380171,56.6804189,57.62085154,58.41114975,59.29327139,60.05078025,60.70986956,61.33791748,61.85645814,62.4440502,62.92238962,63.36586261,63.75567792,63.31386033,62.45458965,
Afghanistan,32.535,33.068,33.547,34.016,34.494,34.953,35.453,35.924,36.418,36.91,37.418,37.923,38.444,39.003,39.55,40.1,40.645,41.228,40.271,39.086,39.618,40.164,37.766,38.187,33.329,33.55,39.396,39.844,43.958,45.158,45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,
Africa Western and Central,37.84515162,38.16494978,38.73510186,39.06371528,39.33536025,39.6180377,39.83782699,39.47150006,40.08567892,40.35042038,41.03476138,41.55672111,42.2497926,42.85504711,43.49768365,44.20125385,45.00316314,45.71988949,46.26953509,46.67373587,47.01523877,47.29718997,47.52937849,47.78526223,47.93192038,48.02167573,48.06676373,48.23785223,48.51291312,48.68984741,48.65000339,48.66246101,48.73726634,48.83203884,48.68189229,48.78377285,48.90627733,49.07918377,49.33294924,49.75011677,50.22195388,50.56514413,50.92784833,51.40335648,51.81913179,52.34455123,52.83212568,53.25171157,53.64116468,54.15942084,54.55016917,55.01313789,55.34056099,55.67340551,55.92222899,56.19587235,56.58167849,56.88844583,57.18913927,57.55579555,57.22637273,56.98865678,
Angola,38.211,37.267,37.539,37.824,38.131,38.495,38.757,39.092,39.484,39.829,40.19,40.554,40.905,41.27,41.652,41.191,41.163,41.437,41.83,42.175,42.449,42.772,43.051,42.092,42.353,42.648,42.843,40.917,41.545,41.765,41.893,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,
Albania,54.439,55.634,56.671,57.844,58.983,60.019,60.998,61.972,62.946,63.923,64.824,65.618,66.422,67.14,67.769,68.328,68.704,69.121,69.309,69.584,70.478,70.73,71.023,71.296,71.502,71.656,71.95,72.352,72.641,72.88,73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,44.97289865,45.6764015,46.12257585,46.97247171,47.89575846,48.23210741,48.45707278,48.91291119,49.44511952,49.82223582,50.35134318,51.29642393,51.86445799,52.53968339,53.19444453,53.70985802,54.04753359,55.36147034,56.11217349,56.82629235,57.30237239,57.69292947,58.05479792,58.78736843,59.47897588,60.21573679,61.22126233,61.16971173,60.6090253,62.48114366,62.92796703,63.17961436,63.47441021,64.45832147,65.49672687,65.34978333,65.71840452,65.9944194,65.80770679,66.87672732,67.29733126,67.6316806,67.93557016,67.85900283,67.89591204,68.16268218,68.56724961,68.92868037,69.28642729,69.8126377,70.04125357,70.26151981,70.1804606,70.19651371,70.49262887,70.75822223,70.94306228,71.429596,71.63301665,71.84462603,70.92335959,70.81448302,
United Arab Emirates,48.811,49.695,50.686,51.584,52.848,53.985,55.185,56.339,57.54,58.76,60.021,61.211,62.304,63.351,64.338,65.08,65.82,66.514,67.209,67.846,68.53,69.085,69.66,69.949,70.485,70.747,70.964,71.491,71.606,71.757,71.9,72.241,72.306,72.521,72.598,72.695,72.767,72.937,73.066,73.67,74.38,74.636,74.901,76.222,76.453,76.683,76.909,77.129,77.488,78.003,78.334,78.517,78.716,78.853,79.044,79.223,79.335,79.504,79.627,79.726,78.946,78.71,
Argentina,63.978,64.36,64.244,64.449,64.363,64.593,64.891,64.992,64.89,64.859,65.589,65.541,65.923,66.323,66.563,67.081,67.228,67.861,68.197,68.491,68.564,68.976,68.937,69.267,69.195,69.651,70.119,70.564,71.052,71.425,71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,
