Country,Year,Hospital_density,gdp,Communicable_disease,Hospital_Expenditure,Total_Health_Expenditure,Injury Count,life_expectancy,Mortality,Population
Australia,2000,6.648,415845000000.0,35.6,2.987,7.594,138.3,79.2,676.8,19028802.0
Australia,2001,6.656,379358000000.0,53.3,3.024,7.678,141.76,79.6,667.5,19274701.0
Australia,2002,6.586,395573000000.0,32.2,3.123,7.876,142.6,79.9,682.5,19495210.0
Australia,2003,6.521,467498000000.0,29.3,3.157,7.881,143.47,80.2,668.3,19720737.0
Australia,2004,6.477,614326000000.0,46.4,3.25,8.087,144.1,80.5,663.8,19932722.0
Australia,2005,6.453,695305000000.0,57.6,3.263,7.97,150.64,80.8,658.85,20176844.0
Australia,2006,6.43,747907000000.0,50.8,3.284,7.977,156.53,81.0,653.9,20450966.0
Australia,2007,6.309,854427000000.0,25.6,3.322,8.055,154.89,81.3,661.9,20827622.0
Australia,2008,6.212,1055690000000.0,69.4,3.534,8.249,156.1,81.4,677.4,21249199.0
Australia,2009,6.15,928630000000.0,141.2,3.711,8.545,154.09,81.5,648.9,21691653.0
Australia,2010,6.105,1148570000000.0,160.0,3.656,8.42,147.82,81.7,651.2,22031750.0
Australia,2011,6.021,1398460000000.0,175.8,3.695,8.537,151.33,81.9,657.7,22340024.0
Australia,2012,5.925,1546950000000.0,108.1,3.744,8.675,148.69,82.0,647.1,22733465.0
Australia,2013,5.876,1576330000000.0,55.0,3.807,8.751,150.48,82.1,638.5,23128129.0
Australia,2014,5.631,1467590000000.0,52.9,3.967,9.834,150.39,82.3,654.2,23475686.0
Australia,2015,5.589,1350580000000.0,95.7,4.124,10.182,154.61,82.4,667.8,23815995.0
Australia,2016,5.593,1206560000000.0,84.3,4.13,10.093,159.68,82.4,655.2,24190907.0
Australia,2017,5.461,1326470000000.0,50.6,4.226,10.123,158.76,82.5,655.0,24594202.0
Australia,2018,5.423,1428270000000.0,51.4,4.27,10.06,157.31,82.7,635.5,24966643.0
Australia,2019,5.276,1392220000000.0,49.1,4.373,10.22,157.31,82.9,666.8,25340217.0
Australia,2020,5.219,1326940000000.0,14.1,4.443,10.684,157.31,83.2,628.7,25655289.0
Austria,2000,3.42,197290000000.0,3.3,3.676,9.204,685.62,78.3,958.4,8011566.0
Austria,2001,3.332,197509000000.0,4.7,3.676,9.269,699.61,78.8,929.7,8042293.0
Austria,2002,3.328,214395000000.0,3.5,3.676,9.395,701.35,78.9,942.0,8082121.0
Austria,2003,3.263,262274000000.0,4.6,3.676,9.547,700.66,78.8,950.7,8118245.0
Austria,2004,3.218,301458000000.0,3.1,3.676,9.709,683.73,79.3,909.1,8169441.0
Austria,2005,3.209,316092000000.0,2.9,3.731,9.627,647.2,79.5,913.8,8225278.0
Austria,2006,3.193,336280000000.0,2.4,3.693,9.531,628.09,80.1,898.5,8267948.0
Austria,2007,3.255,389186000000.0,3.2,3.66,9.532,641.47,80.3,899.6,8295189.0
Austria,2008,3.209,432052000000.0,9.2,3.768,9.726,607.11,80.6,902.3,8321541.0
Austria,2009,3.2,401759000000.0,4.1,3.971,10.226,589.32,80.5,927.5,8341483.0
Austria,2010,3.228,392275000000.0,7.0,3.965,10.221,548.47,80.7,923.1,8361069.0
Austria,2011,3.253,431685000000.0,5.8,3.889,10.026,536.74,81.1,911.4,8388534.0
Austria,2012,3.321,409402000000.0,8.4,4.0,10.199,604.0,81.1,942.3,8426311.0
Austria,2013,3.326,430191000000.0,9.0,3.956,10.286,566.74,81.3,937.8,8477230.0
Austria,2014,3.323,442585000000.0,7.5,3.971,10.368,557.94,81.6,915.6,8543932.0
Austria,2015,3.263,381971000000.0,12.0,3.942,10.368,548.88,81.3,961.2,8629519.0
Austria,2016,3.171,395837000000.0,16.9,3.964,10.352,553.71,81.8,923.3,8739806.0
Austria,2017,3.126,417261000000.0,18.7,3.99,10.384,537.32,81.7,946.5,8795073.0
Austria,2018,3.031,454991000000.0,27.2,3.989,10.349,526.44,81.8,949.9,8837707.0
Austria,2019,2.984,444621000000.0,28.1,4.07,10.487,508.47,82.0,939.0,8877637.0
Austria,2020,2.994,435225000000.0,8.3,4.465,11.385,423.13,81.3,1027.3,8916845.0
Austria,2021,2.992,480368000000.0,2.3,4.391,12.096,456.78,81.3,1026.8,8951520.0
Belgium,2000,2.195,236792000000.0,1.4,2.953,7.999,676.5,77.9,1022.6,10251251.0
Belgium,2001,2.148,236746000000.0,1.4,2.953,8.15,647.7,78.1,1001.2,10286571.0
Belgium,2002,2.11,258384000000.0,1.4,2.953,8.318,638.1,78.2,1019.0,10332786.0
Belgium,2003,2.082,318083000000.0,1.7,2.953,9.164,640.6,78.3,1023.6,10376131.0
Belgium,2004,2.054,369215000000.0,1.8,3.077,9.328,614.2,79.0,971.6,10421136.0
Belgium,2005,2.042,385715000000.0,5.2,3.026,9.224,602.3,79.1,982.3,10478620.0
Belgium,2006,2.0,408260000000.0,5.8,2.971,9.13,601.56,79.5,949.0,10547956.0
Belgium,2007,1.958,470922000000.0,7.9,3.016,9.136,605.62,79.9,954.1,10624835.0
Belgium,2008,1.914,517328000000.0,8.1,3.435,9.595,587.87,79.8,968.8,10709108.0
Belgium,2009,1.852,483254000000.0,9.7,3.673,10.321,568.54,80.2,961.6,10796498.0
Belgium,2010,1.79,481421000000.0,12.7,3.643,10.202,541.71,80.3,965.1,10895591.0
Belgium,2011,1.767,523330000000.0,9.1,3.773,10.363,555.19,80.7,944.8,10993609.0
Belgium,2012,1.747,496153000000.0,6.4,3.848,10.502,506.31,80.5,982.1,11067748.0
