Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Afghanistan,AFG,18.449,12.096,7.478,7.395,7.331,7.077,7.027,6.981,6.791,7.113,7.344,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Albania,ALB,5.526,5.798,7.819,7.868,7.947,8.035,8.15,8.308,8.48,10.785,11.325,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Algeria,DZA,5.731,5.037,4.673,4.555,4.437,4.472,4.542,4.482,4.392,5.398,4.546,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,American Samoa,ASM,..,..,..,4.2,..,..,5.1,..,..,5.6,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Andorra,AND,..,..,..,..,..,4.3,..,4.4,3.9,..,..,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Angola,AGO,21.993,18.287,9.607,9.181,8.826,8.555,8.242,7.99,7.811,7.821,8.009,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Antigua and Barbuda,ATG,7.666,6.587,5.565,5.544,5.649,5.662,5.746,5.787,5.865,5.961,6.365,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Argentina,ARG,7.743,7.6,7.494,7.447,7.543,7.947,7.692,7.68,7.6,8.509,8.955,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Armenia,ARM,7.524,8.27,9.813,9.704,9.607,9.634,9.664,9.75,9.662,12.792,13.007,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Aruba,ABW,7.1,6.335,7.403,7.729,7.968,8.336,8.414,8.597,8.778,9.69,11.235,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Australia,AUS,7,6.7,6.4,6.6,6.6,6.6,6.5,6.3,6.7,6.3,6.7,..
"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,Austria,AUT,10.8,9.6,9.4,9.2,9.6,9.2,9.5,9.5,9.4,10.3,10.3,..
